route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,NJB,1,Newark,3,,
10,NJB,10,Bayonne - Jersey City,3,,
101,NJB,101,West Orange - Montclair - New York,3,,
102,NJB,102,Bloomfield - New York,3,,
105,NJB,105,West Caldwell - Cedar Grove - New York,3,,
107,NJB,107,Irvington - New York,3,,
108,NJB,108,Newark - New York,3,,
109,NJB,109,North Newark - Harrison - New York,3,,
11,NJB,11,Newark - Willowbrook,3,,
111,NJB,111,New York - IKEA - Jersey Gardens,3,,
112,NJB,112,Clark - New York,3,,
113,NJB,113,Dunellen - New York,3,,
114,NJB,114,Bridgewater - New York,3,,
115,NJB,115,Rahway - New York,3,,
116,NJB,116,Perth Amboy - New York,3,,
117,NJB,117,Somerville - New York Express,3,,
119,NJB,119,Bayonne - Jersey City - New York,3,,
12,NJB,12,Broadway Bayonne,3,,
120,NJB,120,Bayonne - New York Downtown,3,,
121,NJB,121,North Bergen - New York,3,,
122,NJB,122,Secaucus - New York,3,,
123,NJB,123,Jersey City - Union City - New York,3,,
124,NJB,124,Secaucus - New York,3,,
125,NJB,125,Jersey City - Journal Square - New York,3,,
126,NJB,126,Hoboken - New York,3,,
127,NJB,127,Ridgefield - Union City - New York,3,,
128,NJB,128,North Bergen - Boulevard East - New York,3,,
129,NJB,129,Secaucus - Union City - New York,3,,
13,NJB,13,Broad Street - Clinton Avenue,3,,
130,NJB,130,Lakewood - New York - Union Hill Express,3,,
131,NJB,131,Sayreville - New York,3,,
132,NJB,132,Lakewood - New York - Gordons Corner Express,3,,
133,NJB,133,Old Bridge - Aberdeen - New York,3,,
135,NJB,135,Freehold - Matawan - New York,3,,
136,NJB,136,Lakewood - New York - Freehold Mall Express,3,,
137,NJB,137,Toms River - New York,3,,
138,NJB,138,Old Bridge - East Brunswick - New York,3,,
139,NJB,139,Lakewood - Old Bridge - New York (via Route 9),3,,
14,NJB,14,Duncan - Mallory - NJ 440,3,,
144,NJB,144,Elmwood Park-Hackensack-New York,3,,
145,NJB,145,Fair Lawn - New York,3,,
148,NJB,148,Midland Park - New York,3,,
151,NJB,151,Paterson - New York Express,3,,
153,NJB,153,Fairview - Fort Lee - New York,3,,
154,NJB,154,Fort Lee-Palisades Park-New York,3,,
155,NJB,155,Bogota-Ridgefield Park-New York,3,,
156,NJB,156,Englewood Cliffs - Fort Lee - New York,3,,
157,NJB,157,Teaneck-Ridgefield Park-New York,3,,
158,NJB,158,Fort Lee-Edgewater-New York,3,,
159,NJB,159,Fort Lee-New York,3,,
16,NJB,16,Newport Mall - Journal Square,3,,
160,NJB,160,Elmwood Park - Wallington - New York,3,,
161,NJB,161,Paterson - Passaic - New York,3,,
162,NJB,162,Maywood - New York,3,,
163,NJB,163,Ridgewood - New York,3,,
163S,NJB,163S,Ridgewood - Paramus Seasonal,3,,
164,NJB,164,Midland Park - Fair Lawn - New York,3,,
165,NJB,165,Westwood - New York,3,,
166,NJB,166,Cresskill - Bergenfield - New York,3,,
167,NJB,167,Harrington Park - Dumont - New York,3,,
168,NJB,168,Paramus - New York,3,,
171,NJB,171,Paterson - New York (GWB),3,,
175,NJB,175,Ridgewood - New York (GWB),3,,
177,NJB,177,Harrington Park - New Milford - New York Express,3,,
